/Users/adam/work/h2co/apex/june2013/raw/M-091.F-0019-2013/M-091.F-0019-2013-2013-06-08.apex
-------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     72-   1669 MAP_001      AP-H201-X201    46155        1 [   -26.232056,   327.368488 ] [  -327.464130,   148.216211 ]         59.2         60.8        0
   1682-   3271 MAP_001      AP-H201-X201    46155        1 [  -141.553855,   207.954135 ] [  -260.730449,   211.925471 ]         59.0         58.0        0
   3284-   4881 MAP_001      AP-H201-X201    46155        1 [  -254.847415,    97.471537 ] [  -187.210281,   283.853511 ]         59.2         57.9        0
   4894-   5847 MAP_001      AP-H201-X201    46155        1 [  -325.589363,   -20.738977 ] [  -116.720680,   326.852966 ]         58.9         55.9        0
   5860-   7459 MAP_001      AP-H201-X201    46156        1 [  -332.496261,   143.360595 ] [  -322.300507,    28.875045 ]        147.6        145.8        0
   7472-   9071 MAP_001      AP-H201-X201    46156        1 [  -256.333182,   215.838746 ] [  -216.667533,   139.788440 ]        147.9        147.4        0
   9084-  10677 MAP_001      AP-H201-X201    46156        1 [  -187.037704,   279.202336 ] [   -96.982122,   256.154361 ]        147.8        150.6        0
  10690-  11649 MAP_001      AP-H201-X201    46156        1 [  -115.715377,   326.938643 ] [    17.121654,   323.662585 ]        147.7        148.5        0
  11662-  13259 MAP_002      AP-H201-X201    46158        1 [   -25.458410,   332.148970 ] [  -327.949588,   149.335164 ]         59.1         57.3        0
  13272-  14865 MAP_002      AP-H201-X201    46158        1 [  -141.304546,   213.321431 ] [  -261.560149,   212.036289 ]         59.1         58.4        0
  14878-  16475 MAP_002      AP-H201-X201    46158        1 [  -256.933731,   101.027194 ] [  -188.341192,   281.603814 ]         59.2         57.8        0
/Users/adam/work/h2co/apex/april2014/E-093.C-0144A.2014JUL29/E-093.C-0144A-2014-2014-07-29.apex
-----------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     12-   1609 MAP_002      AP-H201-X201    46159        1 [  -327.557874,   140.898557 ] [  -326.781626,    28.401881 ]        147.7          0.0     1608
   1622-   3219 MAP_002      AP-H201-X201    46159        1 [  -256.088183,   213.783165 ] [  -212.487289,   139.948435 ]        147.9          0.0     3216
   3232-   4823 MAP_002      AP-H201-X201    46159        1 [  -185.699254,   278.492482 ] [   -97.725762,   258.263009 ]        147.7          0.0     4818
/Users/adam/work/h2co/apex/april2014/E-093.C-0144A.2014JUN01/E-093.C-0144A-2014-2014-05-31.apex
-----------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     72-   1667 MAP_007      AP-H201-X201    29416        1 [   -25.168092,   330.749024 ] [  -325.890382,   143.446067 ]         59.1         58.3        0
   1680-   3279 MAP_007      AP-H201-X201    29416        1 [  -140.014265,   212.572581 ] [  -269.926544,   214.341381 ]         59.2         57.5        0
   3292-   4883 MAP_007      AP-H201-X201    29416        1 [  -255.593600,   101.287705 ] [  -188.654806,   283.675315 ]         58.9         59.6        0
   4896-   5851 MAP_007      AP-H201-X201    29416        1 [  -326.259909,   -21.218084 ] [  -118.491005,   324.295816 ]         58.8         57.9        0
   5864-   7465 MAP_007      AP-H201-X201    29417        1 [  -335.803655,   139.851569 ] [  -329.375828,    25.764642 ]        147.8        151.2        0
   7478-   9069 MAP_007      AP-H201-X201    29417        1 [  -255.876730,   219.441059 ] [  -211.989464,   141.079406 ]        147.8        150.8        0
   9082-  10681 MAP_007      AP-H201-X201    29417        1 [  -192.370735,   283.063671 ] [   -97.984039,   259.523083 ]        147.7        146.3        0
/Users/adam/work/h2co/apex/april2014/E-093.C-0144A.2014JUN07/E-093.C-0144A-2014-2014-06-06.apex
-----------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     42-   1639 MAP_026      AP-H201-X201    30853        1 [   -22.512979,   327.645039 ] [  -327.187051,   146.667556 ]         59.2         58.5        0
   1652-   3245 MAP_026      AP-H201-X201    30853        1 [  -145.832105,   210.697742 ] [  -256.715891,   213.720901 ]         59.1         54.4        0
   3258-   4853 MAP_026      AP-H201-X201    30853        1 [  -252.911369,   102.211089 ] [  -185.586996,   286.829197 ]         59.2         57.2        0
   4866-   5823 MAP_026      AP-H201-X201    30853        1 [  -326.788469,   -17.338659 ] [  -120.728203,   323.128238 ]         59.4         60.3        0
   5836-   7433 MAP_026      AP-H201-X201    30854        1 [  -326.874289,   140.824023 ] [  -327.562028,    24.517141 ]        147.8        150.7        0
   7446-   9043 MAP_026      AP-H201-X201    30854        1 [  -253.961070,   215.413390 ] [  -213.568903,   138.104548 ]        147.9        151.1        0
   9056-  10647 MAP_026      AP-H201-X201    30854        1 [  -186.903211,   278.248204 ] [   -96.022719,   257.740788 ]        147.7        145.8        0
  10660-  11617 MAP_026      AP-H201-X201    30854        1 [  -114.428049,   332.414042 ] [    16.943827,   326.287883 ]        147.8        148.2        0
  11630-  13225 MAP_027      AP-H201-X201    30857        1 [   -23.830125,   333.260431 ] [  -323.803082,   143.793718 ]         59.1         59.0        0
  13238-  14835 MAP_027      AP-H201-X201    30857        1 [  -140.332465,   206.912646 ] [  -261.698220,   213.262889 ]         59.2         57.2        0
  14848-  16449 MAP_027      AP-H201-X201    30857        1 [  -254.885475,    99.699255 ] [  -181.926392,   285.092574 ]         59.1         60.3        0
  16462-  17423 MAP_027      AP-H201-X201    30857        1 [  -325.264811,   -18.920900 ] [  -114.577995,   325.110652 ]         59.0         60.6        0
  17436-  19041 MAP_027      AP-H201-X201    30858        1 [  -328.641481,   141.762739 ] [  -327.184025,    29.204311 ]        147.7        148.9        0
  19054-  20657 MAP_027      AP-H201-X201    30858        1 [  -254.053038,   217.522734 ] [  -217.948810,   142.109393 ]        147.8        147.4        0
  20670-  22271 MAP_027      AP-H201-X201    30858        1 [  -191.172565,   279.032352 ] [   -98.626094,   256.268492 ]        147.7        146.7        0
  22284-  23245 MAP_027      AP-H201-X201    30858        1 [  -116.914328,   328.053177 ] [    13.738031,   322.129274 ]        147.7        147.8        0
  23288-  24887 MAP_028      AP-H201-X201    30864        1 [   -22.664129,   329.322952 ] [  -325.526354,   146.613204 ]         59.0         58.5        0
  24900-  26499 MAP_028      AP-H201-X201    30864        1 [  -143.099388,   213.009126 ] [  -261.589636,   211.699443 ]         58.9         57.6        0
  26512-  28113 MAP_028      AP-H201-X201    30864        1 [  -256.210262,    98.215596 ] [  -184.405767,   283.148003 ]         58.9         58.5        0
  28126-  29083 MAP_028      AP-H201-X201    30864        1 [  -327.527714,   -21.827560 ] [  -119.344117,   324.672138 ]         58.8         56.9        0
  29096-  30697 MAP_028      AP-H201-X201    30865        1 [  -334.990523,   144.136339 ] [  -326.927909,    27.431864 ]        147.8        150.3        0
  30710-  32309 MAP_028      AP-H201-X201    30865        1 [  -256.139041,   215.371465 ] [  -216.610792,   140.496770 ]        147.8        147.5        0
  32322-  33923 MAP_028      AP-H201-X201    30865        1 [  -190.176195,   282.939791 ] [   -92.788341,   255.608680 ]        147.8        150.3        0
  33936-  34895 MAP_028      AP-H201-X201    30865        1 [  -116.359269,   328.887368 ] [    14.092505,   321.592405 ]        147.8        149.1        0
  34938-  36539 MAP_029      AP-H201-X201    30899        1 [   -25.895897,   331.632559 ] [  -328.173648,   140.738647 ]         59.1         59.3        0
  36552-  38153 MAP_029      AP-H201-X201    30899        1 [  -144.044059,   210.313064 ] [  -256.823442,   214.455512 ]         59.3         56.2        0
  38166-  39759 MAP_029      AP-H201-X201    30899        1 [  -254.520343,    98.594686 ] [  -183.536879,   285.350827 ]         59.2         57.2        0
  39772-  40733 MAP_029      AP-H201-X201    30899        1 [  -323.268806,   -17.855616 ] [  -121.186131,   327.077818 ]         59.2         59.7        0
  40746-  42345 MAP_029      AP-H201-X201    30900        1 [  -324.564418,   141.067136 ] [  -328.714599,    27.532365 ]        147.8        145.7        0
  42358-  43955 MAP_029      AP-H201-X201    30900        1 [  -257.056170,   213.646727 ] [  -215.182511,   141.599250 ]        147.8        151.3        0
  43968-  45561 MAP_029      AP-H201-X201    30900        1 [  -187.843248,   281.832820 ] [   -95.872078,   256.508304 ]        147.7        147.7        0
  45574-  46531 MAP_029      AP-H201-X201    30900        1 [  -118.686274,   328.763080 ] [    15.613001,   323.696875 ]        147.6        150.1        0
  46544-  48143 MAP_030      AP-H201-X201    30902        1 [   -26.507691,   330.504674 ] [  -328.111768,   148.263191 ]         59.3         58.3        0
  48156-  49753 MAP_030      AP-H201-X201    30902        1 [  -143.328058,   213.209269 ] [  -261.126053,   212.906834 ]         59.1         55.4        0
  49766-  51363 MAP_030      AP-H201-X201    30902        1 [  -252.646320,   101.695135 ] [  -187.255508,   287.508892 ]         59.2         57.9        0
  51376-  52331 MAP_030      AP-H201-X201    30902        1 [  -325.764965,   -21.939561 ] [  -119.280100,   324.410355 ]         59.3         56.9        0
  52374-  53977 MAP_001      AP-H201-X201    30908        1 [   -26.231984,   330.309069 ] [  -323.689767,   140.292508 ]         59.1         58.4        0
  53990-  55587 MAP_001      AP-H201-X201    30908        1 [  -142.330103,   213.047738 ] [  -261.455815,   213.154905 ]         59.1         60.8        0
  55600-  57197 MAP_001      AP-H201-X201    30908        1 [  -255.107085,    96.693397 ] [  -187.775821,   284.634201 ]         59.2         58.3        0
  57210-  58171 MAP_001      AP-H201-X201    30908        1 [  -329.555080,   -17.454942 ] [  -121.054435,   325.611238 ]         58.8         58.2        0
  58184-  59785 MAP_001      AP-H201-X201    30909        1 [  -326.708628,   142.152448 ] [  -328.250967,    24.221635 ]        147.7        151.0        0
  59798-  61399 MAP_001      AP-H201-X201    30909        1 [  -256.858549,   214.457841 ] [  -214.405374,   139.358139 ]        147.8        149.4        0
  61412-  63011 MAP_001      AP-H201-X201    30909        1 [  -191.963713,   280.152242 ] [   -98.365235,   258.588641 ]        147.9        148.3        0
  63024-  63981 MAP_001      AP-H201-X201    30909        1 [  -115.888158,   326.765874 ] [    17.939227,   323.582672 ]        147.7        146.1        0
  63994-  65597 MAP_030      AP-H201-X201    30911        1 [  -326.456810,   144.183847 ] [  -327.484756,    26.555367 ]        147.8        143.8        0
  65610-  67209 MAP_030      AP-H201-X201    30911        1 [  -251.089405,   210.292077 ] [  -214.813273,   142.005372 ]        147.9        143.0        0
  67222-  68829 MAP_030      AP-H201-X201    30911        1 [  -193.577417,   283.199389 ] [   -97.758857,   259.692946 ]        147.8        149.3        0
/Users/adam/work/h2co/apex/april2014/E-093.C-0144A.2014OCT11/E-093.C-0144A-2014-2014-10-10.apex
-----------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     42-   1637 MAP_018      AP-H201-X201    72199        1 [   -23.301239,   328.276469 ] [  -326.184438,   145.610891 ]         59.0         59.7        0
   1650-   3251 MAP_018      AP-H201-X201    72199        1 [  -141.335702,   210.456850 ] [  -257.004184,   211.262658 ]         59.0         56.4        0
   3264-   4859 MAP_018      AP-H201-X201    72199        1 [  -253.922891,   101.362191 ] [  -183.852846,   285.877010 ]         59.1         59.2        0
   4872-   5835 MAP_018      AP-H201-X201    72199        1 [  -329.592323,   -20.070317 ] [  -119.823920,   325.464787 ]         59.0         58.3        0
   5848-   7443 MAP_018      AP-H201-X201    72200        1 [  -335.610715,   140.723603 ] [  -321.315879,    30.080971 ]        147.8        149.9        0
   7456-   9055 MAP_018      AP-H201-X201    72200        1 [  -255.744326,   215.293352 ] [  -217.109049,   138.492468 ]        147.8        148.1        0
   9068-  10667 MAP_018      AP-H201-X201    72200        1 [  -193.191454,   283.547449 ] [   -97.054802,   255.436223 ]        147.7        149.5        0
  10680-  11641 MAP_018      AP-H201-X201    72200        1 [  -116.159186,   327.332470 ] [    17.159619,   323.190334 ]        148.0        150.4        0
  11654-  13249 MAP_058      AP-H201-X201    72202        1 [   -25.646315,   330.339517 ] [  -323.027410,   141.944536 ]         58.9         59.0        0
  13262-  14857 MAP_058      AP-H201-X201    72202        1 [  -143.114024,   210.843858 ] [  -256.822386,   209.686365 ]         59.0         56.6        0
  14870-  16547 MAP_058      AP-H201-X201    72202        1 [  -440.232095,    98.210728 ] [  -438.557327,   285.579329 ]         58.9         59.5        0
  16560-  17519 MAP_058      AP-H201-X201    72202        1 [  -328.755468,   -18.435556 ] [  -114.773588,   326.839135 ]         59.2         55.8        0
  17532-  19125 MAP_058      AP-H201-X201    72203        1 [  -329.275360,   146.003746 ] [  -324.822383,    28.639900 ]        147.8        145.0        0
